Gender,Age,PB1,PB2,PB3,PB4,PB5,PB6,PB7,PB8,PB9,PB10,PB11,PB12,PB13,PB14,PB15,PB16,PB17,PB18,STOPD11,STOPD21,STOPD31,STOPD41,STOPD51,Vitality1,Vitality2,Vitality3,Vitality,Health,NSNFAF,NSNFAS,NSNFSF,NSNFSS,NSNFCF,NSNFCS
Woman,31,57,48,46,53,61,37,38,54,95,46,60,60,51,26,60,64,54,64,79,48,54,50,43,56,34,59,49.67,2,3,3,4,3,4,3
Woman,41,43,19,74,48,41,74,43,75,82,74,37,56,48,32,77,63,2,35,73,74,75,72,79,24,29,17,23.33,2,4,2,3,3,3,2
Woman,25,69,28,77,65,25,89,66,54,64,83,86,74,36,62,49,83,51,85,30,32,55,52,88,91,47,64,67.33,2,2,2,4,3,5,1
Man,18,100,60,100,19,0,100,50,100,21,100,100,48,100,38,100,100,50,100,50,76,50,76,0,100,100,100,100.00,3,2,1,1,4,2,3
Man,33,48,4,51,32,77,84,64,52,81,86,72,7,78,71,84,82,6,10,77,77,82,71,55,86,64,48,66.00,2,3,2,2,4,2,3
Woman,19,7,0,7,0,0,0,36,64,0,78,44,34,74,0,15,16,0,0,12,25,33,9,0,12,0,0,4.00,2,1,1,1,1,1,1
Man,27,60,60,50,74,48,76,52,75,68,72,73,70,61,75,59,66,70,60,65,65,52,73,62,58,80,64,67.33,5,4,2,3,3,4,3
Man,43,75,55,34,63,79,70,59,46,73,87,71,56,78,80,62,58,68,77,66,81,86,74,67,71,86,77,78.00,4,2,3,2,2,3,2
Man,NA,40,68,42,65,37,67,59,86,81,56,56,83,59,54,79,51,81,67,64,46,23,84,47,40,67,48,51.67,4,3,4,2,4,3,3
Woman,34,79,54,84,85,84,65,81,28,95,48,30,83,62,87,77,54,40,85,98,86,100,82,84,22,21,50,31.00,3,4,2,5,2,4,2
Man,37,78,63,58,63,53,87,80,68,45,41,80,79,74,78,46,55,82,30,52,81,82,86,84,30,39,29,32.67,2,3,3,4,3,4,4
Man,65,100,3,100,18,90,100,1,100,3,100,100,3,100,2,100,100,3,72,2,4,4,4,3,91,100,100,97.00,2,1,5,1,5,1,5
Man,23,91,76,54,85,65,87,100,93,100,60,98,73,68,84,93,66,84,79,23,31,52,40,7,94,74,100,89.33,5,3,4,4,4,3,5
Man,27,43,27,66,40,69,35,67,22,67,43,67,27,65,34,57,46,54,21,37,55,54,27,78,57,31,71,53.00,2,2,4,3,5,3,2
Man,39,78,57,56,65,20,72,79,86,75,86,71,84,71,64,84,75,6,46,79,69,68,52,57,36,43,50,43.00,3,4,3,4,4,3,4
Man,26,72,23,21,14,25,59,20,15,50,40,62,24,31,36,22,33,28,27,44,26,30,26,30,30,33,39,34.00,2,2,3,3,2,2,1
Man,28,0,0,NA,23,NA,58,NA,24,22,33,68,22,32,51,23,21,33,14,23,33,14,22,22,32,18,15,21.67,2,3,1,2,3,4,4
Woman,65,50,100,100,100,100,31,100,32,73,79,17,100,17,20,2,8,7,100,100,100,100,85,100,12,4,0,5.33,1,4,2,3,3,4,2
Woman,35,42,80,45,84,21,30,100,39,100,20,14,0,25,80,50,10,29,10,100,100,80,50,100,10,34,5,16.33,1,4,3,4,2,5,2
Man,25,71,68,68,50,89,65,67,77,63,76,73,67,69,52,39,40,47,60,53,77,87,56,54,75,58,66,66.33,2,2,3,5,3,3,4
Woman,39,70,30,91,27,61,29,71,58,78,80,59,21,62,68,59,72,47,37,39,68,72,31,37,36,15,20,23.67,2,2,4,3,4,2,3
Woman,25,50,0,29,2,4,20,4,37,60,49,65,8,50,21,78,80,0,0,29,50,80,33,51,80,50,58,62.67,2,3,2,3,3,3,3
Woman,41,43,32,56,36,54,66,66,48,54,44,42,62,58,60,62,53,63,65,56,75,58,58,71,64,56,73,64.33,1,3,4,4,4,4,4
Man,27,70,36,62,98,100,84,73,69,81,71,68,70,72,78,74,69,77,78,71,87,100,12,18,25,27,63,38.33,1,4,3,1,4,4,3
Man,24,60,18,67,50,24,80,22,81,87,23,60,27,76,57,30,78,76,51,34,62,53,21,63,89,42,43,58.00,3,3,3,1,1,2,4
Woman,51,50,58,100,0,25,70,NA,100,100,100,50,NA,79,NA,100,100,NA,NA,100,100,100,100,NA,NA,NA,NA,#DIV/0!,2,1,4,1,5,1,5
Man,28,69,0,61,30,16,75,45,29,8,59,68,16,64,9,77,13,4,8,8,39,7,20,75,40,40,61,47.00,3,2,4,3,4,3,4
Woman,62,79,17,21,76,14,95,44,48,37,49,53,52,54,37,37,54,27,50,19,11,29,12,24,17,56,48,40.33,3,2,3,3,4,3,4
Man,40,70,50,75,25,70,80,80,75,85,65,70,65,70,70,65,75,25,65,40,30,30,40,50,80,80,70,76.67,4,4,3,4,3,3,2
